feature	Actinomycetaceae	Alcaligenaceae	Alicyclobacillaceae	Bifidobacteriaceae	Burkholderiaceae	Burkholderiales.fam..incertae.sedis	Chlorobi.fam..incertae.sedis	Comamonadaceae	Corynebacteriaceae	Corynebacteriales.fam..incertae.sedis	Dermacoccaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Pasteurellaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002340	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	13	0	0	0	12	60	0	0	2	4	0	0
SRR20002343	0	0	10	0	42	16	49	8	20	11	16	0	0	0	32	62	23	0	0	137	473	0	7	396	14	141	20
SRR20002345	0	202	14	0	61	5	18	17	23	119	0	0	0	0	17	68	34	0	0	735	491	26	24	23	17	103	0
SRR20002351	23	12	0	0	24	7	0	7	49	16	0	23	0	9	28	21	13	10	0	364	348	0	0	10	141	0	0
SRR20002352	0	0	0	0	16	13	0	0	0	7	4	0	0	0	13	6	7	0	0	72	138	0	0	4062	19	0	2
SRR20002353	0	2	0	0	6	7	0	0	0	6	0	0	0	0	21	36	18	0	0	27	323	0	0	0	0	0	0
SRR20002355	0	3	0	0	15	0	0	0	0	5	0	0	0	0	3	3	4	0	0	26	114	0	0	0	0	0	0
SRR20002356	4	0	1	0	2	0	5	0	2	0	0	11	0	0	5	1	0	0	0	10	403	0	0	1	25	10	0
SRR20002360	3	0	0	0	10	1	0	0	0	3	0	0	0	0	3	10	1	0	0	36	142	0	1	4	0	0	0
SRR20002363	0	0	0	0	52	11	0	0	0	0	0	0	0	0	0	7	22	0	0	23	262	0	0	6806	156	0	0
SRR20002365	0	0	0	0	43	14	0	0	7	28	0	0	0	0	19	35	0	0	0	257	353	0	0	0	0	2	0
SRR20002368	0	4	0	0	20	3	0	0	3	4	4	0	2	0	0	25	0	0	0	34	155	0	7	5634	0	0	0
SRR20002369	0	0	0	557	0	0	0	0	0	0	0	102	0	23	0	0	0	1300	2	2	1	0	0	35	1	0	0
SRR20002371	0	0	0	0	2	0	3	0	0	2	0	3	0	0	0	2	0	0	0	13	15	0	0	22	39	5	0
SRR20002373	0	9	6	0	19	8	10	4	0	8	0	0	8	0	6	31	0	0	0	28	263	0	0	0	0	61	0
SRR20002375	0	0	1	0	5	6	5	2	0	0	0	0	0	0	2	7	2	0	0	16	122	0	1	2	6	12	0
SRR20002377	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	5	12	0	0	110	0	0	0
SRR20002378	0	0	0	4	6	2	0	0	0	0	0	0	0	0	0	0	2	0	0	4	54	0	0	1	1	0	0
SRR20002379	0	15	0	0	74	24	0	0	0	0	0	0	3	0	0	34	16	0	0	35	556	0	0	9	0	0	0
SRR20002380	0	0	0	5	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	4	30	0	0	5036	0	0	0
SRR20002382	0	0	8	0	39	12	61	0	0	0	0	0	0	0	15	43	11	0	0	93	365	0	0	7	16	150	0
SRR20002384	0	0	3	0	7	2	8	0	865	0	0	0	0	0	0	10	0	0	0	19	88	0	0	2	0	21	0
SRR20002386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	17	0	0	0	0	0	0
SRR20002388	0	0	2	0	10	3	2	5	0	0	0	0	0	0	6	17	14	0	0	26	132	6	0	0	0	17	0
SRR20002391	0	17	0	0	78	28	0	3	28	21	0	0	6	0	20	136	15	0	0	769	1010	30	5	5	5	0	0
SRR20002394	0	0	0	0	0	0	0	0	2243	0	0	0	0	0	0	0	0	0	0	0	18	0	0	30	8	4	0
SRR20002396	0	0	2	0	26	8	5	9	3	0	0	175	0	0	8	33	4	0	0	26	319	0	5	7	25	39	5
SRR20002397	0	12	0	0	27	22	0	3	10	0	4	0	0	0	34	20	0	0	0	47	311	0	0	19	0	0	0
SRR20002401	0	3	0	0	54	6	0	0	15	3	18	28	0	0	6	76	31	0	0	219	477	0	12	186	2294	4	0
SRR20002402	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	48	0	0	0	0	0	0
SRR20002403	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
SRR20002406	0	0	2	0	12	0	5	0	2	2	0	0	0	0	6	2	0	0	0	70	179	2	0	2	3	15	1
SRR20002410	5	3	0	0	9	4	0	0	470	5	4	0	0	0	1	18	0	4	0	5	115	0	0	1	0	0	0
SRR20002412	21	0	0	136	18	5	0	0	83	6	0	3	0	6	13	4	3	3	17	47	144	0	3	579	249	0	0
SRR20002416	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	10	0	0	0	4	48	0	0	0	0	0	0
SRR20002417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	31	0	0	0	0	0	0
SRR20002419	0	5	0	0	28	4	0	0	0	4	3	0	4	6	4	11	10	0	0	157	264	0	0	9	1	0	0
SRR20002420	0	0	0	0	7	7	0	0	0	7	0	0	0	0	2	20	0	0	0	19	144	0	0	0	0	0	0
SRR20002421	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	9	77	0	0	253	4	0	0
SRR20002422	8	0	0	0	20	10	0	17	16	22	8	0	4	0	10	23	9	7	0	1142	431	0	4	2508	41	3	1
SRR20002425	0	10	0	0	50	18	0	5	0	0	0	0	0	0	27	42	16	0	0	59	462	16	0	24	0	3	0
SRR20002427	4	0	0	99	10	7	0	0	279	0	7	0	0	15	7	8	7	0	7659	24	204	0	0	0	51	0	0
SRR20002430	0	0	0	0	69	4	0	0	73	9	29	5	0	0	45	29	0	47	0	172	673	0	0	84	87	0	0
SRR20002433	0	0	0	0	66	26	0	17	0	28	0	6	0	8	0	27	24	0	0	323	461	0	4	7	0	0	0
SRR20002435	0	0	1	0	2	0	2	0	2066	3	0	40	0	8	0	3	0	0	0	3	24	0	0	2	0	7	0
SRR20002439	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	11	0	0	0	0	0	0
SRR20002441	1	0	0	3	0	0	1	0	2	0	0	4178	0	6	0	0	0	0	6	1	9	0	0	27	0	3	0
SRR20002442	0	0	0	0	23	17	0	0	6	0	0	0	0	0	0	24	8	0	0	27	350	0	0	0	0	0	0
SRR20002443	0	0	0	0	31	7	0	0	650	18	0	1	0	10	4	14	12	0	10	250	228	0	0	252	0	0	0
SRR20002446	8	59	0	0	32	2	0	0	57	4	0	0	0	0	5	10	3	0	0	112	150	0	0	218	846	0	5
SRR20002448	0	0	0	0	15	1	0	0	0	3	0	3	0	13	43	44	18	189	0	101	376	0	0	31	223	1	0
SRR20002450	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	1336	0	0	0
SRR20002455	0	0	0	0	46	19	0	14	0	12	13	0	0	0	0	38	1	0	0	100	354	0	24	7	7	0	0
SRR20002456	0	0	0	0	19	7	0	0	0	0	0	0	0	6	1	14	19	0	0	14	184	0	0	0	0	0	0
SRR20002459	0	0	0	0	24	8	0	0	0	0	0	0	0	0	7	47	0	0	0	26	216	0	0	285	0	0	0
SRR20002464	0	0	2	3	5	4	6	2	1	0	0	0	0	0	0	3	0	0	4	10	94	5	0	0	0	14	0
SRR20002465	0	7	0	25	13	5	0	0	2093	2	5	0	2	0	0	3	6	0	78	13	106	0	0	0	17	0	0
SRR20002466	15	25	0	0	30	7	0	0	0	0	0	0	0	2	0	19	0	0	0	49	386	0	0	451	0	4	0
SRR20002468	0	3	0	0	0	0	0	0	1532	0	0	702	0	0	0	0	0	0	8	0	1	0	0	13	4	0	0
SRR20002473	4	0	0	0	17	4	0	0	3	7	0	0	0	0	4	8	8	0	0	15	196	0	0	5133	76	0	0
SRR20002474	0	17	0	0	18	3	0	10	0	5	5	0	0	0	36	14	20	0	0	35	339	0	0	18	5	0	0
SRR20002475	1	17	0	0	36	19	0	20	8	15	0	30	2	0	10	25	0	0	0	125	436	0	0	19	178	0	13
SRR20002477	3	0	2	0	23	4	3	0	22	0	0	0	0	5	20	27	12	0	0	37	228	0	1	14	31	16	0
SRR20002478	0	0	2	0	2	0	0	2	2	0	0	0	0	3	0	3	0	0	0	7	135	0	0	0	0	10	0
SRR20002479	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	15	0	0	94	0	1	0
SRR20002481	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	5	0
SRR20002482	0	0	2	0	5	2	7	0	1	0	0	0	0	0	4	4	4	0	0	9	76	0	4	0	0	18	0
SRR20002486	4	0	0	0	8	6	0	5	0	0	0	0	0	0	20	5	0	0	0	19	97	4	0	4	0	0	0
SRR20002487	0	0	4	0	15	4	10	0	0	2	0	0	0	0	0	28	3	0	0	58	749	18	0	9	0	48	5
